,Titles,Released,MPAA,Runtime,Metascores,IMDB,User Reviews,Critic Reviews,Directors,Writers,Studios,Budget,US Gross,Worldwide Gross,Aspect Ratio
0,The Suicide Squad,2021,RR,2h 12min,77,8.0,186,84,James Gunn,James Gunn,Atlas Entertainment,,,"$6,700,000",1.90 : 1
1,Jungle Cruise,2021,PG-13PG-13,2h 7min,50,6.7,488,187,Jaume Collet-Serra,Writers,Davis Entertainment,"$200,000,000 ","$38,731,200","$66,361,200",2.39 : 1
2,Black Widow,2021,13+13+,2h 14min,67,6.9,2.2K,314,Cate Shortland,Eric Pearson,Marvel Studios,"$200,000,000 ","$167,965,775","$344,465,775",2.39 : 1
3,Jolt,2021,16+16+,1h 31min,48,5.5,329,88,Tanya Wexler,Scott Wascha,Busted Shark Productions,,,"$37,986",2.35 : 1
4,F9,2021,13+13+,2h 23min,58,5.3,1.4K,216,Justin Lin,Writers,One Race Films,,"$168,917,245","$642,687,245",2.39 : 1
5,Snake Eyes: G.I. Joe Origins,2021,PG-13PG-13,2h 1min,43,5.7,164,69,Robert Schwentke,Evan Spiliotopoulos,Paramount Pictures,"$88,000,000 ","$22,887,374","$29,387,374",2.39 : 1
6,The Tomorrow War,2021,16+16+,2h 18min,45,6.6,3.5K,194,Chris McKay,Zach Dean,Skydance Media,"$200,000,000 ",,,2.39 : 1
7,Gunpowder Milkshake,2021,RR,1h 54min,48,6.0,511,103,Navot Papushado,Navot Papushado,StudioCanal,"$30,000,000 ",,"$698,593",2.39 : 1
8,Wrath of Man,2021,RR,1h 59min,57,7.2,949,174,Guy Ritchie,Writers,Metro-Goldwyn-Mayer (MGM),,"$27,466,489","$102,466,489",2.39 : 1
9,Hitman's Wife's Bodyguard,2021,D17+D17+,1h 40min,32,6.2,453,170,Patrick Hughes,Tom O'Connor,Millennium Media,,"$37,769,430","$66,106,198",2.39 : 1
10,The Forever Purge,2021,RR,1h 43min,53,5.4,362,117,Everardo Gout,James DeMonaco,Universal Pictures,"$18,000,000 ","$42,872,790","$63,800,790",1.85 : 1
11,Suicide Squad,2016,17+17+,2h 3min,40,5.9,2.4K,680,David Ayer,David Ayer,Atlas Entertainment,"$175,000,000 ","$325,100,054","$746,846,894",2.39 : 1
12,Nobody,2021,17+17+,1h 32min,64,7.4,1.6K,240,Ilya Naishuller,Derek Kolstad,87North,"$16,000,000 ","$27,268,035","$55,405,035",2.35 : 1
13,Midnight in the Switchgrass,2021,RR,1h 39min,21,4.3,83,30,Randall Emmett,Alan Horsnail,Emmett/Furla/Oasis Films (EFO Films),"$15,000,000 ",,,2.39:1
14,Escape Room: Tournament of Champions,2021,PG-13PG-13,1h 28min,48,6.1,124,59,Adam Robitel,Writers,Columbia Pictures,"$15,000,000 ","$20,903,830","$31,403,830",
15,Tenet,2020,17+17+,2h 30min,69,7.4,5.1K,492,Christopher Nolan,Christopher Nolan,Warner Bros.,"$205,000,000 ","$58,456,624","$363,656,624",
16,Army of the Dead,2021,RR,2h 28min,57,5.8,3.8K,138,Zack Snyder,Zack Snyder,The Stone Quarry,"$70,000,000 ",,,1.78 : 1
17,Avengers: Endgame,2019,13+13+,3h 1min,78,8.4,9.2K,581,Anthony Russo,Writers,Marvel Studios,"$356,000,000 ","$858,373,000","$2,797,501,328",
18,The Magnificent Seven,2016,PG-13PG-13,2h 12min,54,6.9,540,391,Antoine Fuqua,Writers,Metro-Goldwyn-Mayer (MGM),"$90,000,000 ","$93,432,655","$162,360,636",2.39 : 1
19,Raya and the Last Dragon,2021,13+13+,1h 47min,75,7.4,1.1K,250,Directors,Writers,Walt Disney Animation Studios,,"$54,693,666","$122,560,055",2.39 : 1
20,The Hunt,2020,17+17+,1h 30min,50,6.5,1K,280,Craig Zobel,Nick Cuse,Blumhouse Productions,"$14,000,000 ","$5,812,500","$11,473,631",2.39 : 1
21,Zack Snyder's Justice League,2021,RR,4h 2min,54,8.1,7.7K,287,Zack Snyder,Writers,Atlas Entertainment,,,,1.33 : 1
22,Infinite,2021,PG-13PG-13,1h 46min,28,5.4,582,54,Antoine Fuqua,Ian Shorr,Paramount Pictures,,,,2.39 : 1
