,Unnamed: 0,Titles,Released,Runtime,Metascores,IMDB,User Reviews,Critic Reviews,Directors,Writers,Studios,Budget,US Gross,Worldwide Gross,Aspect Ratio,Runtime_mins
0,0,The Suicide Squad,2021,2h 12min,76,8.0,211,111,James Gunn,James Gunn,Atlas Entertainment,0,0,6700000,1.90 : 1,132
1,1,Jungle Cruise,2021,2h 7min,50,6.7,505,194,Jaume Collet-Serra,Michael Green,Davis Entertainment,200000000,43411300,71041300,2.39 : 1,127
2,2,Black Widow,2021,2h 14min,67,6.9,2200,314,Cate Shortland,Eric Pearson,Marvel Studios,200000000,168858535,345358535,2.39 : 1,134
3,3,Jolt,2021,1h 31min,48,5.5,335,90,Tanya Wexler,Scott Wascha,Busted Shark Productions,0,0,37986,2.35 : 1,91
4,4,F9,2021,2h 23min,58,5.3,1400,217,Justin Lin,Daniel Casey,One Race Films,0,169277480,643047480,2.39 : 1,143
5,5,Snake Eyes: G.I. Joe Origins,2021,2h 1min,43,5.7,168,69,Robert Schwentke,Evan Spiliotopoulos,Paramount Pictures,88000000,23506269,30006269,2.39 : 1,121
6,6,The Tomorrow War,2021,2h 18min,45,6.6,3500,194,Chris McKay,Zach Dean,Skydance Media,200000000,0,0,2.39 : 1,138
7,7,Gunpowder Milkshake,2021,1h 54min,48,6.0,515,104,Navot Papushado,Navot Papushado,StudioCanal,30000000,0,698593,2.39 : 1,114
8,8,Wrath of Man,2021,1h 59min,57,7.2,957,176,Guy Ritchie,Nicolas Boukhrief,Metro-Goldwyn-Mayer (MGM),0,27466489,102466489,2.39 : 1,119
9,9,Hitman's Wife's Bodyguard,2021,1h 40min,32,6.2,455,170,Patrick Hughes,Tom O'Connor,Millennium Media,0,37794379,66163133,2.39 : 1,100
10,10,The Forever Purge,2021,1h 43min,53,5.4,365,120,Everardo Gout,James DeMonaco,Universal Pictures,18000000,43021925,63949925,1.85 : 1,103
11,11,Suicide Squad,2016,2h 3min,40,5.9,2400,680,David Ayer,David Ayer,Atlas Entertainment,175000000,325100054,746846894,2.39 : 1,123
12,12,Nobody,2021,1h 32min,64,7.4,1600,240,Ilya Naishuller,Derek Kolstad,87North,16000000,27268035,55405035,2.35 : 1,92
13,13,Midnight in the Switchgrass,2021,1h 39min,21,4.3,85,31,Randall Emmett,Alan Horsnail,Emmett/Furla/Oasis Films (EFO Films),15000000,0,0,2.39 : 1,99
14,14,Escape Room: Tournament of Champions,2021,1h 28min,48,6.1,124,59,Adam Robitel,Will Honley,Columbia Pictures,15000000,21249409,31749409,,88
15,15,Tenet,2020,2h 30min,69,7.4,5100,492,Christopher Nolan,Christopher Nolan,Warner Bros.,205000000,58456624,363656624,,150
16,16,Army of the Dead,2021,2h 28min,57,5.8,3800,138,Zack Snyder,Zack Snyder,The Stone Quarry,70000000,0,0,1.78 : 1,148
17,17,Avengers: Endgame,2019,3h 1min,78,8.4,9200,581,Anthony Russo,Christopher Markus,Marvel Studios,356000000,858373000,2797501328,,181
18,18,The Magnificent Seven,2016,2h 12min,54,6.9,542,391,Antoine Fuqua,Akira Kurosawa,Metro-Goldwyn-Mayer (MGM),90000000,93432655,162360636,2.39 : 1,132
19,19,Raya and the Last Dragon,2021,1h 47min,75,7.4,1100,250,Don Hall,Qui Nguyen,Walt Disney Animation Studios,0,54696610,122562999,2.39 : 1,107
20,20,The Hunt,2020,1h 30min,50,6.5,100,280,Craig Zobel,Nick Cuse,Blumhouse Productions,14000000,5812500,11473631,2.39 : 1,90
21,21,Zack Snyder's Justice League,2021,4h 2min,54,8.1,7700,287,Zack Snyder,Jerry Siegel,Atlas Entertainment,0,0,0,1.33 : 1,242
22,22,Infinite,2021,1h 46min,28,5.4,583,54,Antoine Fuqua,Ian Shorr,Paramount Pictures,0,0,0,2.39 : 1,106
23,23,Mortal Kombat,2021,1h 50min,44,6.1,2500,260,Simon McQuoid,Greg Russo,New Line Cinema,0,42201013,83601013,2.39 : 1,110
24,24,The Hitman's Bodyguard,2017,1h 58min,47,6.9,584,300,Patrick Hughes,Tom O'Connor,Summit Entertainment,30000000,75468583,176600207,2.39 : 1,118
25,25,The Matrix,1999,2h 16min,73,8.7,4500,345,Lana Wachowski,Lilly Wachowski,Warner Bros.,63000000,171479930,466364845,2.39 : 1,136
26,26,Godzilla vs. Kong,2021,1h 53min,59,6.4,200,338,Adam Wingard,Terry Rossio,Legendary Entertainment,200000000,100563133,467463133,2.40 : 1,113
27,27,Gladiator,2000,2h 35min,67,8.5,2700,219,Ridley Scott,David Franzoni,Dreamworks Pictures,103000000,187705427,465380802,2.39 : 1,155
28,28,Jurassic Park,1993,2h 7min,68,8.1,1200,359,Steven Spielberg,Michael Crichton,Universal Pictures,63000000,404214720,1033928303,,127
29,29,Those Who Wish Me Dead,2021,1h 40min,59,6.0,847,170,Taylor Sheridan,Michael Koryta,BRON Studios,0,7347103,23386180,2.39 : 1,100
30,30,The Dark Knight,2008,2h 32min,84,9.0,7500,434,Christopher Nolan,Jonathan Nolan,Warner Bros.,185000000,534858444,1005973645,2.39 : 1,152
31,31,The Ice Road,2021,1h 49min,42,5.6,718,68,Jonathan Hensleigh,Jonathan Hensleigh,Code Entertainment,0,0,2486641,2.39 : 1,109
